Source ,Pollutant,priority,CAS Number,Type,lowerLimit,upperLimit,Units,Publication Year,Notes
US-EPA,Acenaphthene,1,83329,drinking + organism consumption,0,70,µg/L,2015,
US-EPA,Acenaphthene,1,83329,organism consumption,0,90,µg/L,2015,
US-EPA,Acrolein,1,107028,drinking + organism consumption,0,3,µg/L,2015,
US-EPA,Acrolein,1,107028,organism consumption,0,400,µg/L,2015,
US-EPA,Acrylonitrile,1,107131,drinking + organism consumption,0,0.061,µg/L,2015,
US-EPA,Acrylonitrile,1,107131,organism consumption,0,7,µg/L,2015,
US-EPA,Aldrin,1,309002,drinking + organism consumption,0,0.00000077,µg/L,2015,
US-EPA,Aldrin,1,309002,organism consumption,0,0.00000077,µg/L,2015,
US-EPA,alpha-Hexachlorocyclohexane (HCH) ,1,319846,drinking + organism consumption,0,0.00036,µg/L,2015,
US-EPA,alpha-Hexachlorocyclohexane (HCH) ,1,319846,organism consumption,0,0.00039,µg/L,2015,
US-EPA,alpha-Endosulfan,1,959988,drinking + organism consumption,0,20 ,µg/L,2015,
US-EPA,alpha-Endosulfan,1,959988,organism consumption,0,30 ,µg/L,2015,
US-EPA,Anthracene,1,120127,drinking + organism consumption,0,300 ,µg/L,2015,
US-EPA,Anthracene,1,120127,organism consumption,0,400 ,µg/L,2015,
US-EPA,Antimony,1,7440360,drinking + organism consumption,0,5.6,µg/L,1980,
US-EPA,Antimony,1,7440360,organism consumption,0,640,µg/L,1980,
US-EPA,Arsenic,1,7440382,drinking + organism consumption,0,0.018,µg/L,1992,
US-EPA,Arsenic,1,7440382,organism consumption,0,0.14,µg/L,1992,
US-EPA,Asbestos,1,1332214,drinking + organism consumption,0,7000000, fibers/L,1991,
US-EPA,Barium,0,7440393,drinking + organism consumption,0,"1,000",µg/L,1986,
US-EPA,Benzene,1,71432,drinking + organism consumption,0,0.58,µg/L,2015,"Range reported : 0.58-2.1, used the smallest value"
US-EPA,Benzene,1,71432,organism consumption,0,16,µg/L,2015,Range reported :16-58  used the smallest value
US-EPA,Benzidine,1,92875,drinking + organism consumption,0,0.00014,µg/L,2015,
US-EPA,Benzidine,1,92875,organism consumption,0,0.011,µg/L,2015,
US-EPA,Benzo(a)anthracene,1,56553,drinking + organism consumption,0,0.0012,µg/L,2015,
US-EPA,Benzo(a)anthracene,1,56553,organism consumption,0,0.0013,µg/L,2015,
US-EPA,Benzo(a)pyrene,1,50328,drinking + organism consumption,0,0.00012,µg/L,2015,
US-EPA,Benzo(a)pyrene,1,50328,organism consumption,0,0.00013,µg/L,2015,
US-EPA,Benzo(b)fluoranthene,1,205992,drinking + organism consumption,0,0.0012,µg/L,2015,
US-EPA,Benzo(b)fluoranthene,1,205992,organism consumption,0,0.0013,µg/L,2015,
US-EPA,Benzo(k)fluoranthene,1,207089,drinking + organism consumption,0,0.012,µg/L,2015,
US-EPA,Benzo(k)fluoranthene,1,207089,organism consumption,0,0.013,µg/L,2015,
US-EPA,beta-Hexachlorocyclohexane (HCH),1,319857,drinking + organism consumption,0,0.008,µg/L,2015,
US-EPA,beta-Hexachlorocyclohexane (HCH),1,319857,organism consumption,0,0.014,µg/L,2015,
US-EPA,beta-Endosulfan,1,33213659,drinking + organism consumption,0,20 ,µg/L,2015,
US-EPA,beta-Endosulfan,1,33213659,organism consumption,0,40 ,µg/L,2015,
US-EPA,Bis(2-Chloro-1-methylethyl) Ether,1,108601,drinking + organism consumption,0,200 ,µg/L,2015,
US-EPA,Bis(2-Chloro-1-methylethyl) Ether,1,108601,organism consumption,0,"4,000 ",µg/L,2015,
US-EPA,Bis(2-Chloroethyl) Ether,1,111444,drinking + organism consumption,0,0.03,µg/L,2015,
US-EPA,Bis(2-Chloroethyl) Ether,1,111444,organism consumption,0,2.2,µg/L,2015,
US-EPA,Bis(2-Ethylhexyl) Phthalate,1,117817,drinking + organism consumption,0,0.32,µg/L,2015,
US-EPA,Bis(2-Ethylhexyl) Phthalate,1,117817,organism consumption,0,0.37,µg/L,2015,
US-EPA,Bis(Chloromethyl) Ether,0,542881,drinking + organism consumption,0,0.00015,µg/L,2015,
US-EPA,Bis(Chloromethyl) Ether,0,542881,organism consumption,0,0.017,µg/L,2015,
US-EPA,Bromoform,1,75252,drinking + organism consumption,0,7,µg/L,2015,
US-EPA,Bromoform,1,75252,organism consumption,0,120,µg/L,2015,
US-EPA,Butylbenzyl Phthalate,1,85687,drinking + organism consumption,0,0.1,µg/L,2015,
US-EPA,Butylbenzyl Phthalate,1,85687,organism consumption,0,0.1,µg/L,2015,
US-EPA,Carbon Tetrachloride,1,56235,drinking + organism consumption,0,0.4,µg/L,2015,
US-EPA,Carbon Tetrachloride,1,56235,organism consumption,0,5,µg/L,2015,
US-EPA,Chlordane,1,57749,drinking + organism consumption,0,0.00031,µg/L,2015,
US-EPA,Chlordane,1,57749,organism consumption,0,0.00032,µg/L,2015,
US-EPA,Chlorobenzene,1,108907,drinking + organism consumption,0,100,µg/L,2015,
US-EPA,Chlorobenzene,1,108907,organism consumption,0,800,µg/L,2015,
US-EPA,Chlorodibromomethane,1,124481,drinking + organism consumption,0,0.8,µg/L,2015,
US-EPA,Chlorodibromomethane,1,124481,organism consumption,0,21,µg/L,2015,
US-EPA,Chloroform,1,67663,drinking + organism consumption,0,60,µg/L,2015,
US-EPA,Chloroform,1,67663,organism consumption,0,"2,000",µg/L,2015,
US-EPA,"Chlorophenoxy Herbicide (2,4-D)",0,94757,drinking + organism consumption,0,"1,300",µg/L,2015,
US-EPA,"Chlorophenoxy Herbicide (2,4-D)",0,94757,organism consumption,0,"12,000",µg/L,2015,
US-EPA,"Chlorophenoxy Herbicide (2,4,5-TP) [Silvex]",0,93721,drinking + organism consumption,0,100,µg/L,2015,
US-EPA,"Chlorophenoxy Herbicide (2,4,5-TP) [Silvex]",0,93721,organism consumption,0,400,µg/L,2015,
US-EPA,Chrysene,1,218019,drinking + organism consumption,0,0.12,µg/L,2015,
US-EPA,Chrysene,1,218019,organism consumption,0,0.13,µg/L,2015,
US-EPA,Copper,1,7440508,drinking + organism consumption,0,"1,300",µg/L,1992 ,
US-EPA,Cyanide,1,57125,drinking + organism consumption,0,4,µg/L,2015,
US-EPA,Cyanide,1,57125,organism consumption,0,400,µg/L,2015,
US-EPA,"Dibenzo(a,h)anthracene",1,53703,drinking + organism consumption,0,0.00012,µg/L,2015,
US-EPA,"Dibenzo(a,h)anthracene",1,53703,organism consumption,0,0.00013,µg/L,2015,
US-EPA,Dichlorobromomethane,1,75274,drinking + organism consumption,0,0.95 ,µg/L,2015,
US-EPA,Dichlorobromomethane,1,75274,organism consumption,0,27,µg/L,2015,
US-EPA,Dieldrin,1,60571,drinking + organism consumption,0,0.0000012,µg/L,2015,
US-EPA,Dieldrin,1,60571,organism consumption,0,0.0000012,µg/L,2015,
US-EPA,Diethyl Phthalate,1,84662,drinking + organism consumption,0,600 ,µg/L,2015,
US-EPA,Diethyl Phthalate,1,84662,organism consumption,0,600 ,µg/L,2015,
US-EPA,Dimethyl Phthalate,1,131113,drinking + organism consumption,0,"2,000",,2015,
US-EPA,Dimethyl Phthalate,1,131113,organism consumption,0,"2,000",,2015,
US-EPA,Di-n-Butyl Phthalate,1,84742,drinking + organism consumption,0,20,µg/L,2015,
US-EPA,Di-n-Butyl Phthalate,1,84742,organism consumption,0,30 ,µg/L,2015,
US-EPA,Dinitrophenols,0,25550587,drinking + organism consumption,0,10,µg/L,2015,
US-EPA,Dinitrophenols,0,25550587,organism consumption,0,"1,000",µg/L,2015,
US-EPA,Endosulfan Sulfate,1,1031078,drinking + organism consumption,0,20 ,µg/L,2015,
US-EPA,Endosulfan Sulfate,1,1031078,organism consumption,0,40 ,µg/L,2015,
US-EPA,Endrin,1,72208,drinking + organism consumption,0,0.03,µg/L,2015,
US-EPA,Endrin,1,72208,organism consumption,0,0.03,µg/L,2015,
US-EPA,Endrin Aldehyde,1,7421934,drinking + organism consumption,0,1,µg/L,2015,
US-EPA,Endrin Aldehyde,1,7421934,organism consumption,0,1,µg/L,2015,
US-EPA,Ethylbenzene,1,100414,drinking + organism consumption,0,68,µg/L,2015,
US-EPA,Ethylbenzene,1,100414,organism consumption,0,130,µg/L,2015,
US-EPA,Fluoranthene,1,206440,drinking + organism consumption,0,20 ,µg/L,2015,
US-EPA,Fluoranthene,1,206440,organism consumption,0,20 ,µg/L,2015,
US-EPA,Fluorene,1,86737,drinking + organism consumption,0,50 ,µg/L,2015,
US-EPA,Fluorene,1,86737,organism consumption,0,70 ,µg/L,2015,
US-EPA,gamma-Hexachlorocyclohexane (HCH) [Lindane],1,58899,drinking + organism consumption,0,4.2,µg/L,2015,
US-EPA,gamma-Hexachlorocyclohexane (HCH) [Lindane],1,58899,organism consumption,0,4.4,µg/L,2015,
US-EPA,Heptachlor,1,76448,drinking + organism consumption,0,0.0000059,µg/L,2015,
US-EPA,Heptachlor,1,76448,organism consumption,0,0.0000059,µg/L,2015,
US-EPA,Heptachlor Epoxide,1,1024573,drinking + organism consumption,0,0.000032,µg/L,2015,
US-EPA,Heptachlor Epoxide,1,1024573,organism consumption,0,0.000032,µg/L,2015,
US-EPA,Hexachlorobenzene,1,118741,drinking + organism consumption,0,0.000079,µg/L,2015,
US-EPA,Hexachlorobenzene,1,118741,organism consumption,0,0.000079,µg/L,2015,
US-EPA,Hexachlorobutadiene,1,87683,drinking + organism consumption,0,0.01,µg/L,2015,
US-EPA,Hexachlorobutadiene,1,87683,organism consumption,0,0.01,µg/L,2015,
US-EPA,Hexachlorocyclohexane (HCH) -Technical,0,608731,drinking + organism consumption,0,0.0066,µg/L,2015,
US-EPA,Hexachlorocyclohexane (HCH) -Technical,0,608731,organism consumption,0,0.01,µg/L,2015,
US-EPA,Hexachlorocyclopentadiene,1,77474,drinking + organism consumption,0,4,µg/L,2015,
US-EPA,Hexachlorocyclopentadiene,1,77474,organism consumption,0,4,µg/L,2015,
US-EPA,Hexachloroethane,1,67721,drinking + organism consumption,0,0.1,µg/L,2015,
US-EPA,Hexachloroethane,1,67721,organism consumption,0,0.1,µg/L,2015,
US-EPA,"Indeno(1,2,3-cd)pyrene",1,193395,drinking + organism consumption,0,0.0012,µg/L,2015,
US-EPA,"Indeno(1,2,3-cd)pyrene",1,193395,organism consumption,0,0.0012,µg/L,2015,
US-EPA,Isophorone,1,78591,drinking + organism consumption,0,34,µg/L,2015,
US-EPA,Isophorone,1,78591,organism consumption,0,"1,800",µg/L,2015,
US-EPA,Manganese,0,7439965,drinking + organism consumption,0,50,µg/L,1993,
US-EPA,Manganese,0,7439965,organism consumption,0,100,µg/L,1993,
US-EPA,Methylmercury,1,22967926,organism consumption,0,  0.3,mg/kg,2001,
US-EPA,Methoxychlor,0,72435,drinking + organism consumption,0,0.02,µg/L,2015,
US-EPA,Methoxychlor,0,72435,organism consumption,0,0.02,µg/L,2015,
US-EPA,Methyl Bromide,1,74839,drinking + organism consumption,0,100 ,µg/L,2015,
US-EPA,Methyl Bromide,1,74839,organism consumption,0,"10,000 ",µg/L,2015,
US-EPA,Methylene Chloride,1,75092,drinking + organism consumption,0,20,µg/L,2015,
US-EPA,Methylene Chloride,1,75092,organism consumption,0,"1,000",µg/L,2015,
US-EPA,Nickel,1,7440020,drinking + organism consumption,0,610,µg/L,1998,
US-EPA,Nickel,1,7440020,organism consumption,0,"4,600",µg/L,1998,
US-EPA,Nitrates,0,14797558,drinking + organism consumption,0,"10,000",µg/L,1986,
US-EPA,Nitrobenzene,1,98953,drinking + organism consumption,0,10,µg/L,2015,
US-EPA,Nitrobenzene,1,98953,organism consumption,0,600,µg/L,2015,
US-EPA,Nitrosamines,0,—,drinking + organism consumption,0,0.0008,µg/L,1980,
US-EPA,Nitrosamines,0,—,organism consumption,0,1.24,µg/L,1980,
US-EPA,Nitrosodibutylamine,0,924163,drinking + organism consumption,0,0.0063,µg/L,2002,
US-EPA,Nitrosodibutylamine,0,924163,organism consumption,0,0.22,µg/L,2002,
US-EPA,Nitrosodiethylamine,0,55185,drinking + organism consumption,0,0.0008,µg/L,2002,
US-EPA,Nitrosodiethylamine,0,55185,organism consumption,0,1.24,µg/L,2002,
US-EPA,Nitrosopyrrolidine,0,930552,drinking + organism consumption,0,0.016,µg/L,2002,
US-EPA,Nitrosopyrrolidine,0,930552,organism consumption,0,34,µg/L,2002,
US-EPA,N-Nitrosodimethylamine,1,62759,drinking + organism consumption,0,0.00069,µg/L,2002,
US-EPA,N-Nitrosodimethylamine,1,62759,organism consumption,0,3,µg/L,2002,
US-EPA,N-Nitrosodi-n-Propylamine,1,621647,drinking + organism consumption,0,0.005,µg/L,2002,
US-EPA,N-Nitrosodi-n-Propylamine,1,621647,organism consumption,0,0.51,µg/L,2002,
US-EPA,N-Nitrosodiphenylamine,1,86306,drinking + organism consumption,0,3.3,µg/L,2002,
US-EPA,N-Nitrosodiphenylamine,1,86306,organism consumption,0,6,µg/L,2002,
US-EPA,Pentachlorobenzene ,0,608935,drinking + organism consumption,0,0.1 ,µg/L,2015,
US-EPA,Pentachlorobenzene ,0,608935,organism consumption,0,0.1 ,µg/L,2015,
US-EPA,Pentachlorophenol,1,87865,drinking + organism consumption,0,0.03,µg/L,2015,
US-EPA,Pentachlorophenol,1,87865,organism consumption,0,0.04,µg/L,2015,
US-EPA,pH,0,—,drinking + organism consumption,5,9,,1986,Range 5-9
US-EPA,Phenol,1,108952,drinking + organism consumption,0,"4,000",µg/L,2015,
US-EPA,Phenol,1,108952,organism consumption,0,"300,000",µg/L,2015,
US-EPA,Polychlorinated Biphenyls (PCBs),1,,drinking + organism consumption,0,0.000064,µg/L,2002,
US-EPA,Polychlorinated Biphenyls (PCBs),1,,organism consumption,0,0.000064,µg/L,2002,
US-EPA,Pyrene,1,129000,drinking + organism consumption,0,20 ,µg/L,2015,
US-EPA,Pyrene,1,129000,organism consumption,0,30 ,µg/L,2015,
US-EPA,Selenium,1,7782492,drinking + organism consumption,0,170,,2002,
US-EPA,Selenium,1,7782492,organism consumption,0,4200,,2002,
US-EPA,Solids Dissolved and Salinity,0,—,drinking + organism consumption,0,"250,000",,1986,
US-EPA,Tetrachloroethylene,1,127184,drinking + organism consumption,0,10,,2015,
US-EPA,Tetrachloroethylene,1,127184,organism consumption,0,29,,2015,
US-EPA,Thallium,1,7440280,drinking + organism consumption,0,0.24,,2003,
US-EPA,Thallium,1,7440280,organism consumption,0,0.47,,2003,
US-EPA,Toluene,1,108883,drinking + organism consumption,0,57,,2015,
US-EPA,Toluene,1,108883,organism consumption,0,520,,2015,
US-EPA,Toxaphene,1,8001352,drinking + organism consumption,0,0.0007,,2015,
US-EPA,Toxaphene,1,8001352,organism consumption,0,0.00071,,2015,
US-EPA,Vinyl Chloride,1,75014,drinking + organism consumption,0,0.022,,2015,
US-EPA,Vinyl Chloride,1,75014,organism consumption,0,1.6,,2015,
US-EPA,Zinc,1,7440666,drinking + organism consumption,0,"7,400",,2002,
US-EPA,Zinc,1,7440666,organism consumption,0,"26,000",,2002,
US-EPA,"1,1,1-Trichloroethane",1,71556,drinking + organism consumption,0,"10,000",,2015,
US-EPA,"1,1,1-Trichloroethane",1,71556,organism consumption,0,"200,000",,2015,
US-EPA,"1,1,2,2-Tetrachloroethane",1,79345,drinking + organism consumption,0,0.2,,2015,
US-EPA,"1,1,2,2-Tetrachloroethane",1,79345,organism consumption,0,3,,2015,
US-EPA,"1,1,2-Trichloroethane",1,79005,drinking + organism consumption,0,0.55,,2015,
US-EPA,"1,1,2-Trichloroethane",1,79005,organism consumption,0,8.9,,2015,
US-EPA,"1,1-Dichloroethylene",1,75354,drinking + organism consumption,0,300,,2015,
US-EPA,"1,1-Dichloroethylene",1,75354,organism consumption,0,"20,000",,2015,
US-EPA,"1,2,4,5-Tetrachlorobenzene",0,95943,drinking + organism consumption,0,0.03 ,,2015,
US-EPA,"1,2,4,5-Tetrachlorobenzene",0,95943,organism consumption,0,0.03 ,,2015,
US-EPA,"1,2,4-Trichlorobenzene",1,120821,drinking + organism consumption,0,0.071,,2015,
US-EPA,"1,2,4-Trichlorobenzene",1,120821,organism consumption,0,0.076,,2015,
US-EPA,"1,2-Dichlorobenzene",1,95501,drinking + organism consumption,0,"1,000",,2015,
US-EPA,"1,2-Dichlorobenzene",1,95501,organism consumption,0,"3,000",,2015,
US-EPA,"1,2-Dichloroethane",1,107062,drinking + organism consumption,0,9.9,,2015,
US-EPA,"1,2-Dichloroethane",1,107062,organism consumption,0,650,,2015,
US-EPA,"1,2-Dichloropropane",1,78875,drinking + organism consumption,0,0.9,,2015,
US-EPA,"1,2-Dichloropropane",1,78875,organism consumption,0,31,,2015,
US-EPA,"1,2-Diphenylhydrazine",1,122667,drinking + organism consumption,0,0.03,,2015,
US-EPA,"1,2-Diphenylhydrazine",1,122667,organism consumption,0,0.2,,2015,
US-EPA,"Trans-1,2-Dichloroethylene",1,156605,drinking + organism consumption,0,100,,2015,
US-EPA,"Trans-1,2-Dichloroethylene",1,156605,organism consumption,0,"4,000",,2015,
US-EPA,"1,3-Dichlorobenzene",1,541731,drinking + organism consumption,0,7,,2015,
US-EPA,"1,3-Dichlorobenzene",1,541731,organism consumption,0,10,,2015,
US-EPA,"1,3-Dichloropropene",1,542756,drinking + organism consumption,0,0.27,,2015,
US-EPA,"1,3-Dichloropropene",1,542756,organism consumption,0,12,,2015,
US-EPA,"1,4-Dichlorobenzene",1,106467,drinking + organism consumption,0,300,,2015,
US-EPA,"1,4-Dichlorobenzene",1,106467,organism consumption,0,900,,2015,
US-EPA,"2,3,7,8-TCDD (Dioxin)",1,1746016,drinking + organism consumption,0,5.00E-09,,2002,
US-EPA,"2,3,7,8-TCDD (Dioxin)",1,1746016,organism consumption,0,5.10E-09,,2002,
US-EPA,"2,4,5-Trichlorophenol",0,95954,drinking + organism consumption,0,300,,2015,
US-EPA,"2,4,5-Trichlorophenol",0,95954,organism consumption,0,600,,2015,
US-EPA,"2,4,6-Trichlorophenol",1,88062,drinking + organism consumption,0,1.5,,2015,
US-EPA,"2,4,6-Trichlorophenol",1,88062,organism consumption,0,2.8,,2015,
US-EPA,"2,4-Dichlorophenol",1,120832,drinking + organism consumption,0,10,,2015,
US-EPA,"2,4-Dichlorophenol",1,120832,organism consumption,0,60,,2015,
US-EPA,"2,4-Dimethylphenol",1,105679,drinking + organism consumption,0,100,,2015,
US-EPA,"2,4-Dimethylphenol",1,105679,organism consumption,0,"3,000",,2015,
US-EPA,"2,4-Dinitrophenol",1,51285,drinking + organism consumption,0,10 ,,2015,
US-EPA,"2,4-Dinitrophenol",1,51285,organism consumption,0,300 ,,2015,
US-EPA,"2,4-Dinitrotoluene",1,121142,drinking + organism consumption,0,0.049 ,,2015,
US-EPA,"2,4-Dinitrotoluene",1,121142,organism consumption,0,1.7,,2015,
US-EPA,2-Chloronaphthalene,1,91587,drinking + organism consumption,0,800 ,,2015,
US-EPA,2-Chloronaphthalene,1,91587,organism consumption,0,"1,000 ",,2015,
US-EPA,2-Chlorophenol,1,95578,drinking + organism consumption,0,30,,2015,
US-EPA,2-Chlorophenol,1,95578,organism consumption,0,800,,2015,
US-EPA,"2-Methyl-4,6-Dinitrophenol",1,534521,drinking + organism consumption,0,2,,2015,
US-EPA,"2-Methyl-4,6-Dinitrophenol",1,534521,organism consumption,0,30,,2015,
US-EPA,"3,3'-Dichlorobenzidine",1,91941,drinking + organism consumption,0,0.049,,2015,
US-EPA,"3,3'-Dichlorobenzidine",1,91941,organism consumption,0,0.15,,2015,
US-EPA,3-Methyl-4-Chlorophenol,1,59507,drinking + organism consumption,0,500,,2015,
US-EPA,3-Methyl-4-Chlorophenol,1,59507,organism consumption,0,"2,000",,2015,
US-EPA,"p,p?-Dichlorodiphenyldichloroethane (DDD)",1,72548,drinking + organism consumption,0,0.00012,,2015,
US-EPA,"p,p?-Dichlorodiphenyldichloroethane (DDD)",1,72548,organism consumption,0,0.00012,,2015,
US-EPA,"p,p?-Dichlorodiphenyldichloroethylene (DDE)",1,72559,drinking + organism consumption,0,0.000018,,2015,
US-EPA,"p,p?-Dichlorodiphenyldichloroethylene (DDE)",1,72559,organism consumption,0,0.000018,,2015,
US-EPA,"p,p?-Dichlorodiphenyltrichloroethane (DDT)",1,50293,drinking + organism consumption,0,0.00003,,2015,
US-EPA,"p,p?-Dichlorodiphenyltrichloroethane (DDT)",1,50293,organism consumption,0,0.00003,,2015,
